sample_id,dataset,origin,number of cells,number of ctc,number of wbc attached,sample type,cell type,ctc-cluster size,ctc-cluster id,sample cell type,sample cell type cat,mouse type,donor
GSM2966588,GSE109761,patient,100,0,0,Granulocytes,Granulocytes,NA,NA,REF.Granulocytes,REF.Granulocytes,NA,HV2
GSM2966589,GSE109761,patient,100,0,0,Granulocytes,Granulocytes,NA,NA,REF.Granulocytes,REF.Granulocytes,NA,HV3
GSM2966590,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br30
GSM2966591,GSE109761,patient,3,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br30
GSM2966592,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br37
GSM2966593,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br37
GSM2966594,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br38
GSM2966595,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br38
GSM2966596,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br26
GSM2966597,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br23
GSM2966598,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br23
GSM2966599,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br23
GSM2966600,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br23
GSM2966601,GSE109761,patient,1,1,0,CTC-cluster,CTC,4,cBr23-7,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br23
GSM2966602,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr23-8,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br23
GSM2966603,GSE109761,patient,1,0,1,CTC-cluster-WBC,WBC,3,cBr23-9,CTC.cluster.WBC.wbc,CTC.wbc,NA,Br23
GSM2966604,GSE109761,patient,4,3,1,CTC-cluster-WBC,CTC-WBC,3,cBr23-9,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br23
GSM2966605,GSE109761,patient,1,1,0,CTC-cluster,CTC,4,cBr23-10,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br23
GSM2966606,GSE109761,patient,3,3,0,CTC-cluster,CTC,4,cBr23-10,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br23
GSM2966607,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br23
GSM2966608,GSE109761,patient,3,2,1,CTC-cluster-WBC,CTC-WBC,2,cBr23-11,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br23
GSM2966609,GSE109761,patient,5,4,1,CTC-cluster-WBC,CTC-WBC,4,cBr23-12,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br23
GSM2966610,GSE109761,patient,1,0,1,CTC-single-WBC,WBC,NA,sBr44-1,CTC.single.WBC.wbc,CTC.wbc,NA,Br44
GSM2966611,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br44
GSM2966612,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br44
GSM2966613,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br44
GSM2966614,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br44
GSM2966615,GSE109761,patient,100,0,0,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,Br38
GSM2966616,GSE109761,patient,100,0,0,NK cells,NK cells,NA,NA,REF.NKcells,REF.NKcells,NA,Br38
GSM2966617,GSE109761,patient,100,0,0,T cells,T cells,NA,NA,REF.Tcells,REF.Tcells,NA,Br38
GSM2966618,GSE109761,patient,100,0,0,B cells,B cells,NA,NA,REF.Bcells,REF.Bcells,NA,Br38
GSM2966619,GSE109761,patient,100,0,0,Monocytes,Monocytes,NA,NA,REF.Monocytes,REF.Monocytes,NA,Br38
GSM2966620,GSE109761,patient,100,0,0,Granulocytes,Granulocytes,NA,NA,REF.Granulocytes,REF.Granulocytes,NA,Br38
GSM2966621,GSE109761,patient,100,0,0,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,HV1
GSM2966622,GSE109761,patient,100,0,0,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,Hv2
GSM2966623,GSE109761,patient,100,0,0,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,Hv3
GSM2966624,GSE109761,patient,100,0,0,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,Br30
GSM2966625,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br38
GSM2966626,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM2966627,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM2966628,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr39-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM2966629,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM2966630,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM2966631,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966632,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr11-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br11
GSM2966633,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966634,GSE109761,patient,3,0,3,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br11
GSM2966635,GSE109761,patient,6,0,6,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br11
GSM2966636,GSE109761,patient,1,0,1,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br11
GSM2966637,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966638,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr11-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br11
GSM2966639,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966640,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966641,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966642,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966643,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966644,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966645,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966646,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br11
GSM2966647,GSE109761,patient,100,0,100,B cells,B cells,NA,NA,REF.Bcells,REF.Bcells,NA,Br45
GSM2966648,GSE109761,patient,100,0,100,Monocytes,Monocytes,NA,NA,REF.Monocytes,REF.Monocytes,NA,Br45
GSM2966649,GSE109761,patient,100,0,100,NK cells,NK cells,NA,NA,REF.NKcells,REF.NKcells,NA,Br45
GSM2966650,GSE109761,patient,100,0,100,T cells,T cells,NA,NA,REF.Tcells,REF.Tcells,NA,Br45
GSM2966651,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br45
GSM2966652,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br45
GSM2966653,GSE109761,patient,1,0,1,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br45
GSM2966654,GSE109761,patient,1,0,1,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br45
GSM2966655,GSE109761,patient,NA,0,NA,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,Br45
GSM2966656,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr53-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br53
GSM2966657,GSE109761,patient,3,0,3,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br53
GSM2966658,GSE109761,patient,1,0,1,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br53
GSM2966659,GSE109761,patient,1,0,1,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br53
GSM2966660,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br57
GSM2966661,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966662,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966663,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966664,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966665,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966666,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966667,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966668,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr57-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br57
GSM2966669,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966670,GSE109761,patient,5,0,5,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br57
GSM2966671,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966672,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966673,GSE109761,patient,1,1,0,CTC-single-WBC,CTC,NA,sBr57-1,CTC.single.WBC.ctc,CTC.single.WBC.ctc,NA,Br57
GSM2966674,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966675,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966676,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br57
GSM2966677,GSE109761,patient,100,0,0,B cells,B cells,NA,NA,REF.Bcells,REF.Bcells,NA,Br61
GSM2966678,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966679,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966680,GSE109761,patient,1,0,1,CTC-cluster-WBC,WBC,3,cBr61-1,CTC.cluster.WBC.wbc,CTC.wbc,NA,Br61
GSM2966681,GSE109761,patient,1,1,0,CTC-cluster-WBC,CTC,3,cBr61-1,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br61
GSM2966682,GSE109761,patient,1,1,0,CTC-cluster-WBC,CTC,3,cBr61-1,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br61
GSM2966683,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966684,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966685,GSE109761,patient,1,1,0,CTC-cluster,CTC,3,cBr61-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966686,GSE109761,patient,2,2,0,CTC-cluster,CTC,3,cBr61-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966687,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,NA,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966688,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966689,GSE109761,patient,1,1,0,CTC-single-WBC,CTC,NA,sBr61-1,CTC.single.WBC.ctc,CTC.single.WBC.ctc,NA,Br61
GSM2966690,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br61
GSM2966691,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-4,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966692,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966693,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br61
GSM2966694,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,NA,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966695,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br61
GSM2966696,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966697,GSE109761,patient,1,0,1,CTC-cluster-WBC,WBC,3,cBr61-5,CTC.cluster.WBC.wbc,CTC.wbc,NA,Br61
GSM2966698,GSE109761,patient,1,1,0,CTC-cluster-WBC,CTC,3,cBr61-5,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br61
GSM2966699,GSE109761,patient,1,0,1,CTC-single-WBC,WBC,NA,sB61-2,CTC.single.WBC.wbc,CTC.wbc,NA,Br61
GSM2966700,GSE109761,patient,1,1,0,CTC-single-WBC,CTC,NA,sB61-2,CTC.single.WBC.ctc,CTC.single.WBC.ctc,NA,Br61
GSM2966701,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM2966702,GSE109761,patient,4,0,4,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br61
GSM2966703,GSE109761,patient,4,0,4,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br61
GSM2966704,GSE109761,patient,5,0,5,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br61
GSM2966705,GSE109761,patient,1,0,1,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br61
GSM2966706,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM2966707,GSE109761,patient,100,NA,0,Granulocytes,Granulocytes,NA,NA,REF.Granulocytes,REF.Granulocytes,NA,Br61
GSM2966708,GSE109761,patient,100,NA,0,NK cells,NK cells,NA,NA,REF.NKcells,REF.NKcells,NA,Br61
GSM2966709,GSE109761,patient,NA,NA,0,Platelets,Platelets,NA,NA,REF.Platelets,REF.Platelets,NA,Br61
GSM2966710,GSE109761,patient,100,NA,0,Monocytes,Monocytes,NA,NA,REF.Monocytes,REF.Monocytes,NA,Br61
GSM2966711,GSE109761,patient,100,NA,0,T cells,T cells,NA,NA,REF.Tcells,REF.Tcells,NA,Br61
GSM2966712,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Brx50
GSM2966713,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Brx50
GSM2966714,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,cBrx50-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Brx50
GSM2966715,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Brx50
GSM2966716,GSE109761,xenograft,5,5,0,CTC-cluster,CTC,5,cBrx50-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Brx50
GSM2966717,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Brx50
GSM2966718,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,3,LM2-13,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966719,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,4,LM2-14,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966720,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,4,LM2-14,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966721,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,4,LM2-14,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966722,GSE109761,patient,4,2,2,CTC-cluster-WBC,CTC-WBC,2,cBr7-1,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br7
GSM2966723,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr7-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br7
GSM2966724,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr7-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br7
GSM2966725,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br7
GSM2966726,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br7
GSM2966727,GSE109761,patient,4,2,2,CTC-cluster-WBC,CTC-WBC,2,cBr7-5,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br7
GSM2966728,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br7
GSM2966729,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br7
GSM2966730,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966731,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966732,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr16-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966733,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966734,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr16-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966735,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr16-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966736,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br16
GSM2966737,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br16
GSM2966738,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br46
GSM2966739,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br46
GSM2966740,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br46
GSM2966741,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br46
GSM3664237,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br30
GSM3664238,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br30
GSM3664239,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br30
GSM3664240,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br30
GSM3664241,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br37
GSM3664242,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664243,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664244,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664245,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664246,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664247,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664248,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr39-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664249,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664250,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr39-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664251,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr39-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664252,GSE109761,patient,1,1,0,CTC-cluster-WBC,CTC,2,cBr39-4,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br39
GSM3664253,GSE109761,patient,2,1,1,CTC-cluster-WBC,CTC-WBC,2,cBr39-4,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br39
GSM3664254,GSE109761,patient,1,1,0,CTC-cluster,CTC,3,cBr39-5,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664255,GSE109761,patient,2,2,0,CTC-cluster,CTC,3,cBr39-5,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664256,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664257,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr39-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664258,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664259,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664260,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664261,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM3664262,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM3664263,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM3664264,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr7-4,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br7
GSM3664265,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br7
GSM3664266,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr7-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br7
